date,close,kdjk,kdjd,kdjj,signal,signal_2
2000-06-19,18.28,35.9963,44.3379,19.3129,-1.0,0.0
2000-06-20,18.19,27.4458,38.7072,4.9229,0.0,0.0
2000-06-21,18.23,23.5259,33.6468,3.2843,0.0,0.0
2000-06-22,0.0,15.684,27.6592,-8.2665,0.0,0.0
2000-06-23,18.22,42.2702,32.5295,61.7515,1.0,0.0
2000-06-26,18.2,59.9594,41.6728,96.5326,0.0,0.0
2000-06-27,18.13,71.63,51.6585,111.5729,0.0,0.0
2000-06-28,18.15,79.6458,60.9876,116.9621,0.0,0.0
2000-06-29,18.07,85.5855,69.1869,118.3827,0.0,0.0
2000-06-30,18.13,89.7237,76.0325,117.106,0.0,0.0
2000-07-03,17.74,91.7797,81.2816,112.7761,0.0,0.0
2000-07-04,17.84,93.3306,85.2979,109.396,0.0,0.0
2000-07-05,17.67,65.1508,78.5822,38.288,-1.0,0.0
2000-07-06,17.72,49.37,68.8448,10.4203,0.0,0.0
2000-07-07,17.94,49.3452,62.345,23.3458,0.0,0.0
2000-07-10,17.71,38.5306,54.4068,6.7782,0.0,0.0
2000-07-11,18.03,47.5776,52.1304,38.472,0.0,0.0
2000-07-12,18.21,53.2462,52.5024,54.7339,1.0,0.0
2000-07-13,18.0,49.7336,51.5794,46.0419,-1.0,0.0
2000-07-14,17.96,46.0029,49.7206,38.5676,0.0,0.0
2000-07-17,17.82,38.3879,45.943,23.2777,0.0,0.0
2000-07-18,17.84,32.3335,41.4065,14.1875,0.0,0.0
2000-07-19,18.04,34.889,39.234,26.199,0.0,0.0
2000-07-20,17.9,31.1025,36.5235,20.2604,0.0,0.0
2000-07-21,17.84,25.2065,32.7512,10.1172,0.0,0.0
2000-07-24,17.72,17.9671,27.8232,-1.7449,0.0,0.0
2000-07-25,17.78,16.2034,23.9499,0.7105,0.0,0.0
2000-07-26,17.7,16.4361,21.4453,6.4177,0.0,0.0
2000-07-27,18.98,35.6488,26.1798,54.5867,1.0,0.0
2000-07-28,18.47,39.4625,30.6074,57.1727,0.0,0.0
2000-07-31,18.51,42.7104,34.6417,58.8479,0.0,0.0
2000-08-01,18.57,45.9339,38.4058,60.9902,0.0,0.0
2000-08-02,18.26,42.6156,39.8091,48.2286,0.0,0.0
2000-08-03,18.24,40.0506,39.8896,40.3726,0.0,0.0
2000-08-04,18.25,38.517,39.432,36.6868,-1.0,0.0
2000-08-07,18.3,38.3764,39.0802,36.9689,0.0,0.0
2000-08-08,18.21,32.9917,37.0507,24.8737,0.0,0.0
2000-08-09,18.35,34.4524,36.1846,30.988,0.0,0.0
2000-08-10,18.22,31.957,34.7754,26.3203,0.0,0.0
2000-08-11,18.29,33.1821,34.2443,31.0576,0.0,0.0
2000-08-14,18.51,42.4279,36.9721,53.3394,1.0,0.0
2000-08-15,18.3,40.5458,38.1634,45.3107,0.0,0.0
2000-08-16,18.42,43.8888,40.0718,51.5226,0.0,0.0
2000-08-17,18.58,48.0827,42.7421,58.7639,0.0,0.0
2000-08-18,18.48,46.9571,44.1471,52.5771,0.0,0.0
2000-08-21,18.4,41.7214,43.3385,38.4871,-1.0,0.0
2000-08-22,18.13,28.9907,38.5559,9.8603,0.0,0.0
2000-08-23,18.09,29.5422,35.5514,17.5239,0.0,0.0
2000-08-24,18.1,30.1787,33.7605,23.0151,0.0,0.0
2000-08-25,18.1,30.603,32.708,26.393,0.0,0.0
2000-08-28,18.08,30.3482,31.9214,27.2019,0.0,0.0
2000-08-29,18.03,28.8343,30.8924,24.7182,0.0,0.0
2000-08-30,17.89,25.2835,29.0227,17.805,0.0,0.0
2000-08-31,17.75,18.2025,25.416,3.7754,0.0,0.0
2000-09-01,17.74,16.3495,22.3938,4.2609,0.0,0.0
2000-09-04,17.65,17.1268,20.6381,10.1041,0.0,0.0
2000-09-05,17.21,13.7801,18.3521,4.636,0.0,0.0
2000-09-06,16.84,9.6402,15.4482,-1.9756,0.0,0.0
2000-09-07,17.0,10.7061,13.8675,4.3834,0.0,0.0
2000-09-08,16.95,10.62,12.785,6.29,0.0,0.0
2000-09-11,16.94,10.4392,12.003,7.3114,0.0,0.0
2000-09-12,17.17,17.3942,13.8001,24.5825,1.0,1.0
2000-09-13,17.39,30.1859,19.262,52.0336,0.0,0.0
2000-09-14,17.12,30.5616,23.0286,45.6278,0.0,0.0
2000-09-15,17.04,28.1185,24.7252,34.9052,0.0,0.0
2000-09-18,16.82,19.4124,22.9543,12.3285,-1.0,0.0
2000-09-19,16.4,13.4111,19.7732,0.6868,0.0,0.0
2000-09-20,16.52,17.176,18.9075,13.7131,0.0,0.0
2000-09-21,16.46,18.5095,18.7748,17.9789,0.0,0.0
2000-09-22,16.26,15.4769,17.6755,11.0797,0.0,0.0
2000-09-25,16.42,16.5925,17.3145,15.1484,0.0,0.0
2000-09-26,16.6,23.052,19.227,30.7021,1.0,0.0
2000-09-27,17.07,43.484,27.3127,75.8266,0.0,0.0
2000-09-28,16.89,51.6905,35.4386,84.1942,0.0,0.0
2000-09-29,16.96,59.173,43.35,90.8188,0.0,0.0
2000-10-09,16.75,58.1268,48.2756,77.8291,0.0,0.0
2000-10-10,17.59,69.6237,55.3916,98.0877,0.0,0.0
2000-10-11,17.46,71.6683,60.8172,93.3705,0.0,0.0
2000-10-12,17.2,66.8265,62.8203,74.8389,0.0,0.0
2000-10-13,17.19,62.0451,62.5619,61.0115,-1.0,0.0
2000-10-16,16.78,44.9447,56.6895,21.455,0.0,0.0
2000-10-17,16.93,37.4631,50.2807,11.8279,0.0,0.0
2000-10-18,16.99,34.1421,44.9012,12.6239,0.0,0.0
2000-10-19,16.79,26.3725,38.7249,1.6676,0.0,0.0
2000-10-20,17.05,27.6391,35.0297,12.8581,0.0,0.0
2000-10-23,17.41,38.8284,36.2959,43.8934,1.0,0.0
2000-10-24,17.54,54.1684,42.2534,77.9984,0.0,0.0
